,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,41,5817,4665105312016856251,个人账户4357,2019-01-01 02:54:57,理财产品支出
1,8388,14205,4036051052673206846,个人账户2885,2019-01-01 03:12:14,理财产品支出
2,2802,17007,8541571425717386818,对公账户7678,2019-01-01 11:54:57,代扣
3,1388,18395,7225153334483261734,对公账户5862,2019-01-02 00:46:04,ATM取款
4,1013,19408,8541571425717386818,对公账户7678,2019-01-02 08:24:00,理财产品支出
5,25,19433,8587462542344436585,个人账户8258,2019-01-02 09:09:21,理财产品支出
6,35,19468,7685712410855030070,对公账户8267,2019-01-02 09:15:50,代扣
7,99,19567,5150723151171825138,对公账户0275,2019-01-02 22:13:26,还款
8,1968,21535,7370313177143858417,对公账户0855,2019-01-02 23:50:38,还款
9,85,21620,4033802824215865105,对公账户0715,2019-01-03 01:25:40,ATM取款
10,4,21624,4530117075736517838,对公账户4708,2019-01-03 07:15:36,代扣
11,80,21704,3685006327343825328,个人账户3714,2019-01-03 08:35:31,ATM取款
12,28,21732,4435873553164166751,对公账户2712,2019-01-03 15:17:16,代扣
