,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,2763,93660,7162167505781386105,个人账户2075,2019-01-01 01:17:45,消费
1,3520,97180,7556448258887488431,个人账户2051,2019-01-01 01:26:24,消费
2,9795,106975,7162167505781386105,个人账户2075,2019-01-01 09:58:19,消费
3,45,107020,5371270530174284624,个人账户3120,2019-01-02 00:15:50,消费
4,32,107052,4033802824215865105,对公账户0715,2019-01-02 23:13:55,消费
5,711,107763,8173448813031303082,个人账户4500,2019-01-03 05:18:57,消费
6,45,107808,6827410807645701524,对公账户4277,2019-01-03 08:22:33,消费
7,1703,109511,4381258224744041582,对公账户1312,2019-01-03 18:14:24,消费
8,97,109608,4853765012230888136,个人账户1066,2019-01-03 19:32:09,消费
9,344,109952,2778508366477637267,个人账户0488,2019-01-03 20:49:55,消费
10,61,110013,5117621085704712025,个人账户5654,2019-01-03 22:55:12,消费
