,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,28,41270,2662285435774616353,个人账户0511,2019-01-01 05:15:21,理财产品支出
1,1766,43036,1804351052733487701,个人账户1768,2019-01-01 05:30:28,ATM取款
2,23,43059,7420417414035838233,个人账户4560,2019-01-01 16:55:12,还款
3,27,43086,7370313177143858417,对公账户0855,2019-01-01 20:09:36,代扣
4,15,43101,3685006327343825328,个人账户3714,2019-01-01 23:32:38,还款
5,21905,65006,1804351052733487701,个人账户1768,2019-01-02 05:16:04,代扣
6,2,65008,2170454182021032726,个人账户5256,2019-01-02 15:38:09,理财产品支出
7,169,65177,8473580406358421624,对公账户1408,2019-01-02 16:12:43,ATM取款
8,398,65575,2830457671667676231,对公账户3666,2019-01-02 16:17:02,代扣
9,37,65612,5428507888503517183,个人账户6481,2019-01-03 10:06:14,ATM取款
10,2956,68568,2830457671667676231,对公账户3666,2019-01-03 11:24:00,ATM取款
