,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,-42,90992,6827410807645701524,对公账户4277,2019-01-01 00:17:16,转账
1,686,91678,2662285435774616353,个人账户0511,2019-01-01 02:05:16,转账
2,-4705,86973,7056135884560382775,对公账户7416,2019-01-01 06:05:02,转账
3,48,87021,5060643256327401206,对公账户4336,2019-01-01 06:54:43,转账
4,-8,87013,6321884201064420254,个人账户4441,2019-01-01 06:56:52,转账
5,-550,86463,4485556446540685720,快捷支付单位3552,2019-01-01 07:07:40,消费
6,7,86470,2638311523036810504,个人账户8606,2019-01-01 08:34:04,转账
7,-25068,61402,2206655342651060825,农业银行分行7313,2019-01-01 12:42:28,代扣
8,11060,72462,7237858333123538843,个人账户5616,2019-01-01 14:45:36,转账
9,-4728,67734,2638311523036810504,个人账户8606,2019-01-01 17:40:33,转账
10,-80,67654,7417268220637406377,对公账户6772,2019-01-01 18:17:16,转账
11,-5042,62612,6130340126202866247,个人账户1758,2019-01-01 18:56:09,转账
12,-34,62578,4381258224744041582,对公账户1312,2019-01-01 20:03:07,转账
13,-245,62333,7225442486051870385,对公账户3745,2019-01-01 20:35:31,转账
14,1974,64307,3121581147734832125,个人账户7253,2019-01-01 22:38:38,转账
15,-36,64271,3326731455076610218,中国建设银行分行8084,2019-01-02 00:56:52,还款
16,-23,64248,8036183840310007715,个人账户6327,2019-01-02 01:20:38,转账
17,-33,64215,3040860326164267010,对公账户7171,2019-01-02 09:50:24,转账
18,158,64373,8258687417877216408,个人账户3860,2019-01-02 15:27:21,转账
19,-398,63975,2715700750471765822,农业银行分行4423,2019-01-02 16:17:02,代扣
20,-21,63954,6130340126202866247,个人账户1758,2019-01-02 17:15:21,转账
21,-7468,56486,4171080121464248175,中国工商银行5254,2019-01-02 19:22:48,理财产品支出
22,28,56514,2778508366477637267,个人账户0488,2019-01-03 00:59:45,转账
23,29,56543,3788455575676646137,个人账户0720,2019-01-03 02:47:45,转账
24,-107,56436,3685006327343825328,个人账户3714,2019-01-03 06:30:14,转账
25,-49,56387,1484182021666727521,对公账户0116,2019-01-03 06:54:00,转账
26,-45,56342,4234554074182733101,对公账户8620,2019-01-03 09:33:50,转账
27,-2956,53386,2715700750471765822,农业银行分行4423,2019-01-03 11:24:00,ATM取款
28,-90,53296,4171280767631541757,对公账户5201,2019-01-03 12:22:19,转账
29,-43,53253,2017332063575106653,中国银行分行3130,2019-01-03 14:06:00,理财产品支出
30,-31,53222,1205522546650837872,快捷支付单位5303,2019-01-03 14:57:50,消费
31,-112,53110,6750482847505262117,农业银行分行3580,2019-01-03 19:42:57,还款
32,-141,52969,8085311630662130773,中国建设银行分行4762,2019-01-03 22:03:21,还款
33,271,53240,6726525773288842824,个人账户3726,2019-01-03 23:29:45,转账
