,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,25,38867,4848238248201008656,对公账户3556,2019-01-01 00:51:50,理财基金转账
1,73,38940,1758211032370816214,个人账户7228,2019-01-01 07:50:52,消费
2,35,38975,8532356116011623885,个人账户3225,2019-01-01 08:42:43,消费
3,4818,43793,5105620285780572412,个人账户2147,2019-01-02 02:01:40,消费
4,2670,46463,5105620285780572412,个人账户2147,2019-01-02 06:01:26,转账
5,18,46481,2778508366477637267,个人账户0488,2019-01-02 07:06:14,转账
6,2075,48556,2760530232530051310,个人账户4135,2019-01-02 20:08:09,理财基金转账
7,427,48983,4530117075736517838,对公账户4708,2019-01-03 00:48:57,转账
8,34,49017,4848238248201008656,对公账户3556,2019-01-03 03:13:40,消费
9,26,49043,1804351052733487701,个人账户1768,2019-01-03 03:41:45,理财基金转账
