,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,336,15049,3533867248272723243,个人账户6235,2019-01-01 06:35:16,代扣
1,2758,17807,6078771087330822224,对公账户5018,2019-01-01 08:27:36,还款
2,65,17872,5344646535183141482,个人账户2514,2019-01-01 12:25:12,ATM取款
3,30340,48212,3040860326164267010,对公账户7171,2019-01-01 14:21:50,代扣
4,29,48241,3040860326164267010,对公账户7171,2019-01-01 15:26:38,代扣
5,4240,52481,1501825731003322724,个人账户5247,2019-01-01 16:33:36,理财产品支出
6,398,52879,4628127456536286746,个人账户7502,2019-01-01 18:15:07,代扣
7,1225,54104,8541571425717386818,对公账户7678,2019-01-01 18:28:04,代扣
8,40,54144,2332854227741740736,对公账户0835,2019-01-01 19:58:48,代扣
9,86,54230,5211830681633081007,个人账户0128,2019-01-02 06:53:16,代扣
10,77,54307,1361010721605712738,对公账户2776,2019-01-02 08:04:33,还款
11,1294,55601,8541571425717386818,对公账户7678,2019-01-02 13:37:12,还款
12,385,55986,7752563228176111804,对公账户7227,2019-01-02 15:01:26,还款
13,48,56034,5060643256327401206,对公账户4336,2019-01-02 18:18:00,理财产品支出
14,372,56406,7685712410855030070,对公账户8267,2019-01-02 21:30:14,还款
15,112,56518,7162167505781386105,个人账户2075,2019-01-03 04:55:12,还款
16,47,56565,8208084885872523311,对公账户5500,2019-01-03 13:42:14,还款
17,10,56575,8263673451534275228,对公账户2757,2019-01-03 14:14:38,理财产品支出
18,6,56581,2231186114807048470,对公账户3781,2019-01-03 23:03:50,代扣
19,3,56584,2700266110320162302,对公账户6131,2019-01-03 23:16:48,还款
20,73,56657,3788455575676646137,个人账户0720,2019-01-03 23:21:07,代扣
