,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,4898,95177,2837878456130245682,对公账户0632,2019-01-01 00:45:21,代扣
1,4347,99524,8473580406358421624,对公账户1408,2019-01-01 15:35:16,代扣
2,3305,102829,4435873553164166751,对公账户2712,2019-01-01 19:02:38,ATM取款
3,42013,144842,8541571425717386818,对公账户7678,2019-01-02 03:17:16,代扣
4,40,144882,7237858333123538843,个人账户5616,2019-01-02 15:33:50,还款
5,2378,147260,6078771087330822224,对公账户5018,2019-01-02 18:33:07,还款
6,7468,154728,2830457671667676231,对公账户3666,2019-01-02 19:22:48,理财产品支出
7,69,154797,3688081428617737488,对公账户8535,2019-01-03 01:58:04,代扣
8,44,154841,4674613568681873473,对公账户2374,2019-01-03 03:37:26,还款
9,88,154929,5105620285780572412,个人账户2147,2019-01-03 03:56:52,ATM取款
10,17,154946,2842265488874277676,个人账户1108,2019-01-03 05:23:16,代扣
11,2527,157473,4424313822765527173,个人账户2565,2019-01-03 09:07:55,理财产品支出
12,14556,172029,4674613568681873473,对公账户2374,2019-01-03 15:12:57,还款
13,6,172035,3574608026857801237,对公账户8882,2019-01-03 22:48:43,ATM取款
