,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,696,34650,8173448813031303082,个人账户4500,2019-01-01 03:14:24,消费
1,278,34928,8473580406358421624,对公账户1408,2019-01-01 05:56:24,消费
2,10,34938,5344646535183141482,个人账户2514,2019-01-01 06:48:14,消费
3,550,35488,2830457671667676231,对公账户3666,2019-01-01 07:07:40,消费
4,3880,39368,4435873553164166751,对公账户2712,2019-01-01 19:04:48,消费
5,110,39478,4853765012230888136,个人账户1066,2019-01-02 03:56:09,消费
6,25,39503,4530117075736517838,对公账户4708,2019-01-02 16:34:19,消费
7,635,40138,7312528263071167660,对公账户6375,2019-01-02 19:53:02,消费
8,11,40149,4381258224744041582,对公账户1312,2019-01-03 08:39:50,消费
9,6588,46737,6078771087330822224,对公账户5018,2019-01-03 09:29:31,消费
10,23,46760,4033802824215865105,对公账户0715,2019-01-03 12:41:45,消费
