,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,8673,24071,4033802824215865105,对公账户0715,2019-01-01 00:30:14,理财产品支出
1,1036,25107,4171280767631541757,对公账户5201,2019-01-01 02:13:55,理财产品支出
2,9,25116,4530117075736517838,对公账户4708,2019-01-01 02:22:33,理财产品支出
3,21,25137,4424313822765527173,个人账户2565,2019-01-02 02:55:40,理财产品支出
4,386,25523,8587462542344436585,个人账户8258,2019-01-02 09:30:57,代扣
5,7163,32686,4036051052673206846,个人账户2885,2019-01-02 12:06:28,ATM取款
6,1943,34629,7500142023738587522,个人账户4886,2019-01-02 16:36:28,理财产品支出
7,6901,41530,4424313822765527173,个人账户2565,2019-01-02 20:31:55,代扣
8,11,41541,3121581147734832125,个人账户7253,2019-01-03 00:18:43,ATM取款
9,22,41563,2231186114807048470,对公账户3781,2019-01-03 04:37:55,ATM取款
10,92,41655,1705818161255878302,个人账户2388,2019-01-03 10:04:04,理财产品支出
11,488,42143,7500142023738587522,个人账户4886,2019-01-03 18:12:14,还款
