,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,-15,85595,2676778742471181333,线下商家0214,2019-01-01 10:28:33,消费
1,-1412,84183,4036051052673206846,个人账户2885,2019-01-01 16:03:21,转账
2,-118,84065,8263673451534275228,对公账户2757,2019-01-01 17:14:38,转账
3,-398,83667,3738312478651667083,中国建设银行分行4380,2019-01-01 18:15:07,代扣
4,-37,83630,4424313822765527173,个人账户2565,2019-01-02 00:00:43,转账
5,-1819,81811,4782572380851461116,对公账户6884,2019-01-02 03:25:55,转账
6,71,81882,1804351052733487701,个人账户1768,2019-01-02 03:28:04,转账
7,-39,81843,1136267018324701174,某网商银行4836,2019-01-02 04:28:33,ATM取款
8,-43769,38074,4782572380851461116,对公账户6884,2019-01-02 05:31:12,转账
9,-5994,32080,7370313177143858417,对公账户0855,2019-01-02 06:16:33,转账
10,-13,32067,3040860326164267010,对公账户7171,2019-01-02 12:56:09,转账
11,-565,31502,8231873671372281653,农业银行分行2785,2019-01-02 13:09:07,ATM取款
12,3683,35185,8208084885872523311,对公账户5500,2019-01-02 13:11:16,转账
13,94,35279,2760530232530051310,个人账户4135,2019-01-02 15:12:14,转账
14,-6,35273,4424313822765527173,个人账户2565,2019-01-02 15:23:02,转账
15,-1448,33825,5060643256327401206,对公账户4336,2019-01-02 16:32:09,转账
16,71,33896,7417268220637406377,对公账户6772,2019-01-02 20:16:48,转账
17,129,34025,8448854470861604367,个人账户0866,2019-01-02 21:04:19,转账
18,8103,42128,3706217347735653014,个人账户7844,2019-01-02 23:05:16,转账
19,805,42933,7752563228176111804,对公账户7227,2019-01-03 01:42:57,转账
20,-426,42507,3326731455076610218,中国建设银行分行8084,2019-01-03 03:15:50,ATM取款
21,-1554,40953,1241555182010681232,中国工商银行4210,2019-01-03 04:53:02,理财产品支出
22,-29350,11603,3574608026857801237,对公账户8882,2019-01-03 05:31:55,转账
23,-41,11562,2570840483025757815,线下商家0263,2019-01-03 06:58:19,消费
24,-9090,2472,7166608104856232428,中国工商银行1772,2019-01-03 08:52:48,ATM取款
25,-88,2384,2638311523036810504,个人账户8606,2019-01-03 09:14:24,转账
26,34,2418,4033802824215865105,对公账户0715,2019-01-03 21:35:16,转账
