,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,88,48905,2170454182021032726,个人账户5256,2019-01-01 08:03:50,消费
1,807,49712,8448854470861604367,个人账户0866,2019-01-01 12:18:43,理财基金转账
2,3026,52738,2778508366477637267,个人账户0488,2019-01-01 13:40:48,理财基金转账
3,7825,60563,2332854227741740736,对公账户0835,2019-01-01 13:47:16,消费
4,2255,62818,3234636574803125518,个人账户4841,2019-01-02 20:40:33,理财基金转账
5,114,62932,4530117075736517838,对公账户4708,2019-01-02 20:53:31,理财基金转账
6,305,63237,6130340126202866247,个人账户1758,2019-01-03 02:45:36,转账
7,26,63263,2638311523036810504,个人账户8606,2019-01-03 08:09:36,理财基金转账
8,79,63342,2837878456130245682,对公账户0632,2019-01-03 16:41:31,转账
9,108,63450,7752563228176111804,对公账户7227,2019-01-03 18:16:33,理财基金转账
10,80,63530,1484182021666727521,对公账户0116,2019-01-03 23:38:24,消费
