,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,37,68508,3574608026857801237,对公账户8882,2019-01-01 01:41:31,消费
1,4827,73335,7556448258887488431,个人账户2051,2019-01-01 02:52:48,转账
2,692,74027,7370313177143858417,对公账户0855,2019-01-01 08:31:55,理财基金转账
3,88,74115,7827205622842583108,对公账户2732,2019-01-01 11:24:43,消费
4,25,74140,7868886002236450477,个人账户5467,2019-01-01 16:31:26,理财基金转账
5,1488,75628,8448854470861604367,个人账户0866,2019-01-02 01:42:14,理财基金转账
6,179,75807,3121581147734832125,个人账户7253,2019-01-02 02:21:07,消费
7,43,75850,6321884201064420254,个人账户4441,2019-01-02 07:32:09,转账
8,67,75917,4381258224744041582,对公账户1312,2019-01-02 13:19:55,消费
9,713,76630,7225153334483261734,对公账户5862,2019-01-02 15:42:28,转账
10,72,76702,4435873553164166751,对公账户2712,2019-01-02 21:17:16,消费
11,4730,81432,5105620285780572412,个人账户2147,2019-01-02 21:23:45,理财基金转账
12,1612,83044,2700266110320162302,对公账户6131,2019-01-03 04:20:38,理财基金转账
13,13,83057,7370313177143858417,对公账户0855,2019-01-03 12:39:36,消费
14,1395,84452,7384812601877568545,个人账户7552,2019-01-03 12:46:04,理财基金转账
15,2233,86685,6078771087330822224,对公账户5018,2019-01-03 12:54:43,理财基金转账
16,41,86726,4047787756075014648,对公账户2723,2019-01-03 23:01:40,理财基金转账
